feature_set,model,MAE,RMSE,R2,Accuracy,Precision,Recall,F1,AUC,best_params
A,LightGBM,14.593527784678226,27.75801743736726,0.03435365053066408,0.48960910440376054,0.434141848326681,0.8653610771113831,0.5782048660805561,0.6025287495374456,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'reg_alpha': 1.0, 'reg_lambda': 5.0, 'subsample': 0.8}"
A,XGBoost,14.566971852662599,27.858802224463112,0.027328714915460517,0.450519544779812,0.4201360544217687,0.944920440636475,0.5816537954417028,0.6045023575027346,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 5.0, 'subsample': 0.8}"
A,Lasso,14.710924728000634,27.874859129509602,0.02620715978044974,0.42726373082632363,0.41275941583397385,0.9859241126070991,0.5819035578833304,0.6017312243561853,{'alpha': 1.0}
B,Lasso,14.725111863337798,27.88926454583767,0.02520040914939936,0.42008906481939634,0.41030823648307224,0.9938800489596084,0.580829756795422,0.6024014199912979,{'alpha': 1.0}
A,ElasticNet,14.720427379367523,27.893193737429527,0.024925719642421407,0.41637803067788226,0.40852889225334343,0.9908200734394125,0.5785242093978917,0.6003257704835371,"{'alpha': 1.0, 'l1_ratio': 0.8}"
A,Ridge,14.69382056529265,27.89420849700517,0.0248547715845725,0.4789708065314201,0.4277845777233782,0.8555691554467564,0.5703794369645043,0.5942327594269611,{'alpha': 100.0}
B,RandomForest,14.77004417631781,28.006874938156916,0.01696151871875462,0.5061850569025235,0.4418006430868167,0.8408812729498164,0.5792580101180439,0.5975977158960137,"{'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 200}"
A,GradientBoosting,14.829100383518513,28.07032312889113,0.012502423332104717,0.4119247897080653,0.40597317134902555,0.981640146878825,0.574395702775291,0.6031121526775295,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}"
