ticker,name,market_cap,breakout_date,resistance,support,breakout_close,max_gain_20d,success,box_range_pct,breakout_strength,volume_surge,volume_dry_up,close_strength,volatility_contraction,ma20_deviation,breakout_gap,ma200_slope,pct_above_52w_low,days_since_ath,market_return,rs_vs_market,atr_ratio,liquidity
005930,삼성전자,1122363350011200,2019-09-19,47700,42650,49150,3.56,0,11.8406,3.0398,1.6082,1.2625,0.963,1.1394,8.974,0.7338,0.0,33.3786,1,6.1268,4.4469,1.7803,550543218870
005930,삼성전자,1122363350011200,2019-11-04,51300,42650,52300,2.87,0,20.2814,1.9493,1.3461,0.9058,1.0,0.4269,4.3652,0.9766,0.0,41.9267,11,5.4214,3.5369,1.7277,424365664100
005930,삼성전자,1122363350011200,2019-12-13,53700,47600,54700,11.52,0,12.8151,1.8622,1.4754,1.2986,0.8889,0.7985,6.1878,2.2514,1.2594,48.4396,25,0.3732,1.489,1.8477,701854894820
005930,삼성전자,1122363350011200,2019-12-17,54700,47600,56700,9.35,0,14.916,3.6563,1.5017,1.226,1.0,0.8832,9.8358,2.011,1.1823,53.867,1,1.971,4.0103,1.7826,824238245340
005930,삼성전자,1122363350011200,2020-01-09,56800,49450,58600,7.17,0,14.8635,3.169,1.779,1.0087,1.0,1.3427,6.6133,2.8169,2.1188,59.0231,1,4.6825,9.7707,2.1575,807411048760
005930,삼성전자,1122363350011200,2020-01-10,58600,49450,59500,5.55,0,18.5035,1.5358,1.1166,1.1195,0.8571,1.3112,7.5269,0.3413,2.2175,61.4654,1,5.1663,10.3676,2.1008,946448037520
005930,삼성전자,1122363350011200,2020-01-20,61300,49450,62400,0.32,0,23.9636,1.7945,0.8977,1.205,0.6364,1.269,9.0528,1.1419,2.7016,56.5872,3,3.0928,7.742,2.049,879005498620
005930,삼성전자,1122363350011200,2020-07-28,55600,47850,58600,3.07,0,16.1964,5.3957,2.9146,0.709,0.9167,0.3668,8.8208,2.518,1.1208,38.5343,190,7.0511,3.9338,1.6333,872081704340
005930,삼성전자,1122363350011200,2020-09-14,59200,51400,60400,1.66,0,15.1751,2.027,0.9533,1.2409,0.5556,0.6618,6.7326,2.0339,0.8353,42.7896,238,0.8482,3.2897,2.2351,1481837294640
005930,삼성전자,1122363350011200,2020-11-13,61300,54000,63200,16.93,1,13.5185,3.0995,1.754,1.1804,1.0,0.6085,5.9247,0.4918,0.2848,49.409,298,6.506,-0.2875,1.8987,1180030304320
005930,삼성전자,1122363350011200,2020-11-16,63200,54000,66300,12.37,0,17.037,4.9051,1.9429,1.1927,0.8571,0.7136,10.7769,1.2658,0.2701,56.7376,3,8.3644,2.1356,1.9392,1375040938280
005930,삼성전자,1122363350011200,2020-11-23,66300,54000,67500,10.37,0,22.7778,1.81,1.2851,1.3439,0.9032,1.3547,10.5651,0.1546,0.3901,59.5745,6,11.0363,0.7187,2.1376,1585886208580
005930,삼성전자,1122363350011200,2020-12-02,68200,55600,69500,21.44,1,22.6619,1.9062,1.2292,1.2692,0.75,2.1791,8.3061,0.885,0.7923,64.3026,8,13.5145,5.2889,2.5899,1769932757680
005930,삼성전자,1122363350011200,2020-12-04,69700,56500,71500,18.18,1,23.3628,2.5825,1.1381,1.3174,0.7,2.4387,9.6794,1.0043,0.9466,69.0307,1,13.0333,5.9351,2.5574,1821976619540
005930,삼성전자,1122363350011200,2021-12-22,78200,68800,79400,1.76,0,13.6628,1.5345,1.0483,0.9022,1.0,1.0075,4.5562,1.0243,-0.918,16.2518,345,-0.3276,6.4774,1.8622,936118494620
005930,삼성전자,1122363350011200,2023-05-19,66200,59000,68400,6.29,0,12.2034,3.3233,1.7133,0.7678,1.0,0.3157,5.158,2.4169,0.9735,32.0463,361,-1.4481,5.8756,1.6186,708979662080
005930,삼성전자,1122363350011200,2023-05-26,68800,59000,70300,3.41,0,16.6102,2.1802,1.6033,0.8825,0.8889,0.6959,6.6606,1.4535,0.917,35.7143,1,2.9773,6.6951,1.5749,901808972240
005930,삼성전자,1122363350011200,2023-05-30,70300,59000,72300,0.55,0,19.1525,2.845,2.1915,0.9681,1.0,0.7881,9.1815,1.4225,0.9406,39.5753,4,3.5944,8.3251,1.5708,898296057300
005930,삼성전자,1122363350011200,2023-12-20,73500,66000,74800,6.68,0,11.3636,1.7687,1.4643,1.0292,0.9091,0.3649,3.1724,1.0899,1.5087,37.2477,6,4.0849,-1.3376,1.2319,1092125081860
005930,삼성전자,1122363350011200,2023-12-27,76600,66000,78000,2.31,0,16.0606,1.8277,1.6211,1.228,1.0,0.6548,6.5501,0.1305,1.6585,43.1193,1,3.6379,3.6523,1.2271,1007356396840
